bodyId,type,role,in_degree,out_degree
10442,DNa01,DN,0,57
10760,DNa01,DN,0,43
10360,DNa02,DN,0,51
523769,DNa02,DN,0,60
800561,IN08A006,VNC_IN,2,10
801437,IN08A006,VNC_IN,2,11
801052,IN07B104,VNC_IN,2,8
800999,IN07B104,VNC_IN,2,6
800827,IN12B003,VNC_IN,1,6
11158,DNge026,VNC_IN,1,13
800511,IN08A006,VNC_IN,1,6
800687,IN19A003,VNC_IN,2,11
524150,PS137,VNC_IN,1,0
905009,IN08A006,VNC_IN,1,3
800461,IN19A003,VNC_IN,2,13
801946,Sternal anterior rotator MN,VNC_IN,17,0
801252,IN07B009,VNC_IN,2,8
905415,IN07B006,VNC_IN,1,39
902501,IN12B003,VNC_IN,1,7
800856,IN08A006,VNC_IN,1,7
801027,IN19A003,VNC_IN,2,8
800149,IN07B006,VNC_IN,1,30
801371,INXXX471,VNC_IN,2,25
10101,PS100,VNC_IN,1,1
803843,INXXX140,VNC_IN,1,2
903689,Sternal anterior rotator MN,VNC_IN,16,1
801548,Sternal anterior rotator MN,VNC_IN,11,1
11424,DNge026,VNC_IN,1,16
801666,IN21A007,VNC_IN,1,6
800423,IN13B001,VNC_IN,1,10
906235,Sternal anterior rotator MN,VNC_IN,9,2
800406,IN13B001,VNC_IN,1,3
13165,PS137,VNC_IN,1,0
801752,IN03B019,VNC_IN,1,16
934591,IN07B009,VNC_IN,2,13
800622,IN19A003,VNC_IN,1,12
800356,IN13B001,VNC_IN,1,11
519896,DNa06,VNC_IN,1,17
531928,PS137,VNC_IN,1,0
800213,IN12B003,VNC_IN,1,3
903602,IN19A003,VNC_IN,2,10
801598,IN03B019,VNC_IN,1,9
13324,PS060,VNC_IN,1,0
800832,IN21A003,VNC_IN,1,13
940009,w-cHIN,VNC_IN,1,1
12292,PS274,VNC_IN,1,0
520117,GNG562,VNC_IN,2,0
801469,Sternal anterior rotator MN,VNC_IN,6,1
13404,PS060,VNC_IN,1,0
800716,IN09A002,VNC_IN,1,28
800722,IN08A006,VNC_IN,1,7
524412,DNa06,VNC_IN,1,13
521305,PS274,VNC_IN,1,0
800211,INXXX464,VNC_IN,1,25
10627,CvN5,VNC_IN,1,0
801510,IN21A007,VNC_IN,1,8
801580,IN21A011,VNC_IN,2,4
800553,Pleural remotor/abductor MN,VNC_IN,15,6
555991,AN03A002,VNC_IN,2,13
803083,IN12A039,VNC_IN,1,34
800259,IN19A005,VNC_IN,2,15
800072,INXXX464,VNC_IN,1,24
800306,IN13B001,VNC_IN,1,6
800613,IN21A001,VNC_IN,1,11
800434,IN09A002,VNC_IN,1,23
800677,IN21A003,VNC_IN,1,23
905424,IN01A035,VNC_IN,1,3
802046,IN13B006,VNC_IN,1,14
802308,IN14B007,VNC_IN,2,16
801860,INXXX471,VNC_IN,2,23
800544,IN01A034,VNC_IN,1,17
800698,IN13B001,VNC_IN,1,3
802134,IN14B003,VNC_IN,1,28
800896,IN09A002,VNC_IN,1,30
905560,IN21A013,VNC_IN,1,4
800846,IN12A003,VNC_IN,2,35
13123,LAL111,VNC_IN,1,0
928813,IN03A047,VNC_IN,2,11
800675,IN21A003,VNC_IN,1,27
805873,IN03A066,VNC_IN,2,7
19124,AN03A002,VNC_IN,2,13
13463,LAL111,VNC_IN,1,0
10203,PS100,VNC_IN,2,0
801085,IN12B003,VNC_IN,1,4
802092,IN14B007,VNC_IN,1,21
10543,DNa16,VNC_IN,1,7
13295,DNge033,VNC_IN,1,10
912122,IN13B006,VNC_IN,1,14
800833,IN09A004,VNC_IN,1,15
801611,IN21A011,VNC_IN,2,4
800596,IN19A003,VNC_IN,1,18
929612,INXXX464,VNC_IN,2,12
800992,IN21A011,VNC_IN,1,14
801918,Sternal anterior rotator MN,VNC_IN,7,1
801050,IN13B006,VNC_IN,1,10
802383,IN20A.22A003,VNC_IN,1,9
800296,IN09A002,VNC_IN,2,29
800557,IN03A006,VNC_IN,1,13
800497,IN19A005,VNC_IN,1,14
804851,Sternal posterior rotator MN,VNC_IN,7,0
801673,INXXX048,VNC_IN,1,11
803502,IN01A028,VNC_IN,2,12
800668,IN13B001,VNC_IN,1,5
12787,DNge033,VNC_IN,1,8
12086,GNG562,VNC_IN,2,1
800215,IN01A034,VNC_IN,1,19
803228,IN20A.22A003,VNC_IN,2,7
802099,INXXX468,VNC_IN,1,2
902257,IN12A037,VNC_IN,1,5
802453,IN03B015,VNC_IN,2,1
13128,GNG653,VNC_IN,1,0
924901,IN06A002,VNC_IN,1,15
802663,IN14B006,VNC_IN,1,11
800578,Fe reductor MN,VNC_IN,13,2
800175,Pleural remotor/abductor MN,VNC_IN,16,1
804773,IN04B081,VNC_IN,2,8
801616,IN03B015,VNC_IN,2,2
519460,DNa16,VNC_IN,1,9
802324,IN13B006,VNC_IN,1,12
16938,PS019,VNC_IN,1,0
800780,IN14B002,VNC_IN,2,6
903079,IN01A018,VNC_IN,1,5
905010,IN03A047,VNC_IN,1,9
13837,PS137,VNC_IN,1,0
910562,IN12A041,VNC_IN,1,0
906758,w-cHIN,VNC_IN,1,1
902880,IN03B019,VNC_IN,2,14
800430,IN19A005,VNC_IN,1,9
910291,IN12A037,VNC_IN,2,16
919509,Sternal anterior rotator MN,VNC_IN,6,0
804872,IN01A038,VNC_IN,1,18
801765,IN21A011,VNC_IN,1,7
801097,IN21A003,VNC_IN,1,26
803422,IN01A035,VNC_IN,1,2
14429,PS019,VNC_IN,1,0
801235,IN01A015,VNC_IN,1,16
800167,IN21A001,VNC_IN,1,17
801550,IN01A028,VNC_IN,3,10
800880,IN14B004,VNC_IN,4,7
800631,IN12A003,VNC_IN,2,37
802886,IN06B022,VNC_IN,2,2
806715,IN03A066,VNC_IN,2,6
802442,IN06B022,VNC_IN,2,1
802376,IN14B002,VNC_IN,2,5
809108,IN04B081,VNC_IN,2,7
923171,INXXX140,VNC_IN,2,1
802317,IN14B004,VNC_IN,4,1
800539,IN03B019,VNC_IN,2,6
903075,IN04B081,VNC_IN,2,7
10885,DNg88,VNC_IN,2,20
801930,IN19A016,VNC_IN,2,18
10544,DNg88,VNC_IN,2,26
801335,MNhl59,VNC_IN,19,2
810059,IN04B081,VNC_IN,2,6
804107,iii3 MN,MN,3,0
801736,MNhl62,MN,7,0
801768,Sternal posterior rotator MN,MN,11,0
830514,Ti extensor MN,MN,2,0
801761,Sternal posterior rotator MN,MN,11,0
801058,Tr flexor MN,MN,8,0
800911,Ti extensor MN,MN,3,0
903090,MNhl62,MN,8,0
801678,ADNM1 MN,MN,5,0
801234,Ti extensor MN,MN,3,0
802521,Sternal posterior rotator MN,MN,10,0
801715,Sternal posterior rotator MN,MN,9,0
801492,Sternal posterior rotator MN,MN,10,0
802964,Sternal posterior rotator MN,MN,12,0
903152,ADNM1 MN,MN,5,0
907256,Sternal posterior rotator MN,MN,6,0
802215,Sternal anterior rotator MN,MN,13,0
800316,Sternal anterior rotator MN,MN,12,0
903642,Sternal posterior rotator MN,MN,7,0
801813,Sternal anterior rotator MN,MN,9,0
802509,Pleural remotor/abductor MN,MN,6,0
801057,Tr flexor MN,MN,8,0
903643,Sternal posterior rotator MN,MN,8,0
800962,Sternal posterior rotator MN,MN,7,0
803704,Sternal posterior rotator MN,MN,8,0
803226,Sternal posterior rotator MN,MN,9,0
800621,Ti extensor MN,MN,2,0
905210,MNnm11,MN,6,0
832490,Sternal anterior rotator MN,MN,5,0
803314,Pleural remotor/abductor MN,MN,5,0
803829,Tr flexor MN,MN,14,0
803378,MNnm11,MN,6,0
904657,Sternotrochanter MN,MN,7,0
801915,Sternal posterior rotator MN,MN,5,0
802232,Tr flexor MN,MN,10,0
902962,Fe reductor MN,MN,9,0
801148,Sternotrochanter MN,MN,5,0
800504,Sternotrochanter MN,MN,9,0
802864,Sternotrochanter MN,MN,4,0
803803,Pleural remotor/abductor MN,MN,5,0
804078,MNhl29,MN,12,0
903159,Tr flexor MN,MN,6,0
805313,Pleural remotor/abductor MN,MN,6,0
801090,Sternotrochanter MN,MN,6,0
800230,MNml82,MN,9,0
801362,MNad41,MN,4,0
803086,MNml29,MN,6,0
902719,Pleural remotor/abductor MN,MN,8,0
802806,MNhm03,MN,3,0
905421,Pleural remotor/abductor MN,MN,11,0
806923,Sternal anterior rotator MN,MN,5,0
928579,Ti extensor MN,MN,4,0
802659,MNhm03,MN,5,0
800589,Tr flexor MN,MN,15,0
813696,ADNM2 MN,MN,4,0
905235,Acc. ti flexor MN,MN,4,0
803499,Pleural remotor/abductor MN,MN,9,0
902492,Pleural remotor/abductor MN,MN,6,0
802980,MNad63,MN,4,0
804025,Fe reductor MN,MN,6,0
853504,"MNnm07,MNnm12",MN,5,0
803480,MNml82,MN,9,0
800851,Sternotrochanter MN,MN,7,0
800776,Pleural remotor/abductor MN,MN,4,0
804343,ADNM2 MN,MN,3,0
801267,MNhl02,MN,6,0
800847,hg4 MN,MN,6,0
812872,ltm MN,MN,2,0
801185,tpn MN,MN,3,0
802407,Sternotrochanter MN,MN,6,0
806302,MNad08,MN,1,0
806355,MNad08,MN,1,0
856359,Sternotrochanter MN,MN,5,0
800241,hg1 MN,MN,4,0
801375,Sternotrochanter MN,MN,6,0
924142,Tr flexor MN,MN,9,0
800906,hg4 MN,MN,3,0
800917,hg1 MN,MN,3,0
803765,MNnm09,MN,4,0
803684,MNad36,MN,4,0
808453,Tr extensor MN,MN,3,0
802937,MNad63,MN,4,0
807395,MNml29,MN,5,0
806403,MNnm14,MN,7,0
802295,Ti flexor MN,MN,11,0
800158,Ti extensor MN,MN,7,0
807870,MNad16,MN,1,0
804405,Ti flexor MN,MN,11,0
806489,MNnm14,MN,7,0
800541,Pleural remotor/abductor MN,MN,8,0
808720,MNad16,MN,1,0
905617,MNnm09,MN,4,0
808640,Sternal posterior rotator MN,MN,2,0
802251,MNad34,MN,7,0
802252,MNad34,MN,5,0
927808,Ti flexor MN,MN,11,0
801319,MNnm13,MN,4,0
805410,Sternal posterior rotator MN,MN,3,0
800474,MNhm42,MN,3,0
800290,Pleural remotor/abductor MN,MN,8,0
806124,MNad08,MN,1,0
905792,MNhl01,MN,4,0
910095,Tr flexor MN,MN,8,0
809238,MNad16,MN,1,0
816022,MNhl29,MN,5,0
805477,Tr extensor MN,MN,4,0
824315,Tr flexor MN,MN,5,0
1050669248,Tr flexor MN,MN,5,0
807681,MNad16,MN,1,0
1050011487,"MNnm07,MNnm12",MN,4,0
803070,MNad16,MN,1,0
909078,Tr extensor MN,MN,5,0
903158,Tr flexor MN,MN,6,0
806094,MNad08,MN,1,0
805010,Ti flexor MN,MN,7,0
903153,MNnm13,MN,5,0
817681,Tr flexor MN,MN,8,0
905145,Fe reductor MN,MN,5,0
805568,Acc. ti flexor MN,MN,6,0
807312,MNad56,MN,1,0
802731,MNhl59,MN,13,0
905849,Tergotr. MN,MN,4,0
812953,Ti extensor MN,MN,2,0
807813,MNad45,MN,3,0
902310,Pleural remotor/abductor MN,MN,6,0
807972,ltm2-femur MN,MN,5,0
907848,Acc. ti flexor MN,MN,9,0
804514,Tergotr. MN,MN,5,0
814983,MNml78,MN,2,0
806204,Tergotr. MN,MN,3,0
810720,Acc. tr flexor MN,MN,4,0
903844,MNml80,MN,6,0
807694,MNad16,MN,1,0
809304,MNad45,MN,3,0
905661,Tr extensor MN,MN,4,0
802327,iii3 MN,MN,2,0
804919,Ti flexor MN,MN,8,0
801933,MNhm42,MN,6,0
807160,MNhl01,MN,4,0
810541,Ta levator MN,MN,1,0
814942,Tr extensor MN,MN,5,0
803072,Ti flexor MN,MN,8,0
801021,hg3 MN,MN,2,0
825681,ltm MN,MN,3,0
800762,MNad41,MN,4,0
801173,Tergopleural/Pleural promotor MN,MN,4,0
834952,"MNnm07,MNnm12",MN,3,0
914852,Acc. tr flexor MN,MN,2,0
903508,MNml81,MN,6,0
808888,MNad16,MN,1,0
905559,MNml79,MN,2,0
801693,Fe reductor MN,MN,7,0
805511,MNad33,MN,4,0
807396,MNad56,MN,1,0
807854,Sternal adductor MN,MN,7,0
801637,Acc. ti flexor MN,MN,2,0
803241,MNad16,MN,1,0
906520,MNad40,MN,2,0
909371,Sternal adductor MN,MN,9,0
808011,Sternal posterior rotator MN,MN,4,0
815097,ltm MN,MN,3,0
802500,MNad40,MN,2,0
802923,MNnm03,MN,5,0
802151,MNnm03,MN,4,0
1051054875,Sternal posterior rotator MN,MN,2,0
817210,Ta levator MN,MN,3,0
813629,Acc. ti flexor MN,MN,5,0
821449,ltm2-femur MN,MN,4,0
908673,ltm2-femur MN,MN,3,0
907422,MNml78,MN,2,0
813480,Sternal adductor MN,MN,3,0
818399,Sternal posterior rotator MN,MN,2,0
801824,Tergopleural/Pleural promotor MN,MN,4,0
824104,ltm MN,MN,2,0
